year,layer,market_size_usd_billion,share_ratio,unit,currency,source_name,source_url,source_date,method_note,confidence
2024,deep_space_lunar,55.170,0.090000,billion,USD,Space Foundation The Space Report + Initial layer split hypothesis,https://www.spacefoundation.org/2025/07/15/space-foundation-releases-the-space-report-q2-2025/ | docs/research/pages/research/space_research_report.html,2025-07-15,Total(primary_official): Published global space economy size | Layer split(assumption): Assumed development spending stage,0.600
2024,downstream_data_services,337.150,0.550000,billion,USD,Space Foundation The Space Report + Initial layer split hypothesis,https://www.spacefoundation.org/2025/07/15/space-foundation-releases-the-space-report-q2-2025/ | docs/research/pages/research/space_research_report.html,2025-07-15,Total(primary_official): Published global space economy size | Layer split(assumption): Assumed dominant downstream share,0.625
2024,in_orbit_services,30.650,0.050000,billion,USD,Space Foundation The Space Report + Initial layer split hypothesis,https://www.spacefoundation.org/2025/07/15/space-foundation-releases-the-space-report-q2-2025/ | docs/research/pages/research/space_research_report.html,2025-07-15,Total(primary_official): Published global space economy size | Layer split(assumption): Assumed measurable but still emerging market,0.600
2024,satellite_infrastructure,137.925,0.225000,billion,USD,Space Foundation The Space Report + Initial layer split hypothesis,https://www.spacefoundation.org/2025/07/15/space-foundation-releases-the-space-report-q2-2025/ | docs/research/pages/research/space_research_report.html,2025-07-15,Total(primary_official): Published global space economy size | Layer split(assumption): Assumed large installed base and constellation investment,0.625
2024,transport_launch,52.105,0.085000,billion,USD,Space Foundation The Space Report + Initial layer split hypothesis,https://www.spacefoundation.org/2025/07/15/space-foundation-releases-the-space-report-q2-2025/ | docs/research/pages/research/space_research_report.html,2025-07-15,Total(primary_official): Published global space economy size | Layer split(assumption): Assumed launch market acceleration,0.625
2025,deep_space_lunar,59.580,0.090000,billion,USD,Internal estimate from 2024 anchor + Initial layer split hypothesis,docs/research/pages/research/space_research_report.html | docs/research/pages/research/space_research_report.html,2026-02-26,Total(internal_estimate): Estimated with +8.0% YoY from 2024 to build initial annual scenario | Layer split(assumption): Assumed stable programmatic commitments,0.340
2025,downstream_data_services,360.790,0.545000,billion,USD,Internal estimate from 2024 anchor + Initial layer split hypothesis,docs/research/pages/research/space_research_report.html | docs/research/pages/research/space_research_report.html,2026-02-26,Total(internal_estimate): Estimated with +8.0% YoY from 2024 to build initial annual scenario | Layer split(assumption): Assumed strongest demand pull from terrestrial use cases,0.350
2025,in_orbit_services,37.734,0.057000,billion,USD,Internal estimate from 2024 anchor + Initial layer split hypothesis,docs/research/pages/research/space_research_report.html | docs/research/pages/research/space_research_report.html,2026-02-26,Total(internal_estimate): Estimated with +8.0% YoY from 2024 to build initial annual scenario | Layer split(assumption): Assumed faster commercialization in debris and life-extension services,0.350
2025,satellite_infrastructure,145.640,0.220000,billion,USD,Internal estimate from 2024 anchor + Initial layer split hypothesis,docs/research/pages/research/space_research_report.html | docs/research/pages/research/space_research_report.html,2026-02-26,Total(internal_estimate): Estimated with +8.0% YoY from 2024 to build initial annual scenario | Layer split(assumption): Assumed modularization reduces relative hardware share,0.350
2025,transport_launch,58.256,0.088000,billion,USD,Internal estimate from 2024 anchor + Initial layer split hypothesis,docs/research/pages/research/space_research_report.html | docs/research/pages/research/space_research_report.html,2026-02-26,Total(internal_estimate): Estimated with +8.0% YoY from 2024 to build initial annual scenario | Layer split(assumption): Assumed continued launch cadence growth,0.350
2026,deep_space_lunar,64.350,0.090000,billion,USD,Internal estimate from 2024 anchor + Initial layer split hypothesis,docs/research/pages/research/space_research_report.html | docs/research/pages/research/space_research_report.html,2026-02-26,Total(internal_estimate): Estimated with +8.0% YoY from 2025 to build initial annual scenario | Layer split(assumption): Assumed sustained long-cycle investment,0.305
2026,downstream_data_services,386.100,0.540000,billion,USD,Internal estimate from 2024 anchor + Initial layer split hypothesis,docs/research/pages/research/space_research_report.html | docs/research/pages/research/space_research_report.html,2026-02-26,Total(internal_estimate): Estimated with +8.0% YoY from 2025 to build initial annual scenario | Layer split(assumption): Assumed continued application-layer expansion,0.315
2026,in_orbit_services,46.475,0.065000,billion,USD,Internal estimate from 2024 anchor + Initial layer split hypothesis,docs/research/pages/research/space_research_report.html | docs/research/pages/research/space_research_report.html,2026-02-26,Total(internal_estimate): Estimated with +8.0% YoY from 2025 to build initial annual scenario | Layer split(assumption): Assumed service layer expansion from demonstrations to operations,0.315
2026,satellite_infrastructure,153.725,0.215000,billion,USD,Internal estimate from 2024 anchor + Initial layer split hypothesis,docs/research/pages/research/space_research_report.html | docs/research/pages/research/space_research_report.html,2026-02-26,Total(internal_estimate): Estimated with +8.0% YoY from 2025 to build initial annual scenario | Layer split(assumption): Assumed lower relative capex share,0.315
2026,transport_launch,64.350,0.090000,billion,USD,Internal estimate from 2024 anchor + Initial layer split hypothesis,docs/research/pages/research/space_research_report.html | docs/research/pages/research/space_research_report.html,2026-02-26,Total(internal_estimate): Estimated with +8.0% YoY from 2025 to build initial annual scenario | Layer split(assumption): Assumed reusable launch penetration increase,0.315
